Alanje;17,314
Bar£;58,093
Boquer¢n;16,082
Boquete;23,019
Bugaba;82,93
David;166,772
Dolega;26,578
Gualaca;10,313
Remedios;4,291
Renacimiento;21,452
San Felix;6,717
San Lorenzo;7,945
Tierras Altas;23
Tol‚;12,577
