Alanje;17314
Barú;58093
Boquerón;16082
Boquete;23019
Bugaba;8293
David;166772
Dolega;26578
Gualaca;10313
Remedios;4291
Renacimiento;21452
San Felix;6717
San Lorenzo;7945
Tierras Altas;23000
Tolé;12577
